digit,k,method,ablated_acc,random_mean_acc,random_std,random_ci_lo,random_ci_hi
3,5,gradient,88.49,88.92966666666666,0.36718281852807677,88.79474166666667,89.05633333333334
3,10,activation,84.1,88.38666666666667,0.7357279086425604,88.10064999999999,88.63048333333334
3,10,weight,85.29,88.38666666666667,0.7357279086425604,88.10064999999999,88.63048333333334
3,10,gradient,86.75,88.38666666666667,0.7357279086425604,88.10064999999999,88.63048333333334
3,20,activation,78.21,87.48233333333333,1.4236120336040359,86.92629166666667,87.89573333333333
3,20,weight,75.52,87.48233333333333,1.4236120336040359,86.92629166666667,87.89573333333333
3,20,gradient,84.47,87.48233333333333,1.4236120336040359,86.92629166666667,87.89573333333333
3,50,activation,55.38,84.03166666666667,2.0844632935655696,83.32475833333334,84.751325
3,50,weight,52.55,84.03166666666667,2.0844632935655696,83.32475833333334,84.751325
3,50,gradient,70.48,84.03166666666667,2.0844632935655696,83.32475833333334,84.751325
4,1,activation,88.85,89.19766666666668,0.1828967529023493,89.13149166666668,89.25552499999999
4,1,weight,89.2,89.19766666666668,0.1828967529023493,89.13149166666668,89.25552499999999
4,1,gradient,89.28,89.19766666666668,0.1828967529023493,89.13149166666668,89.25552499999999
4,5,activation,88.18,88.94900000000003,0.35697198769651367,88.8221083333333,89.06339999999999
4,5,weight,88.6,88.94900000000003,0.35697198769651367,88.8221083333333,89.06339999999999
4,5,gradient,88.49,88.94900000000003,0.35697198769651367,88.8221083333333,89.06339999999999
4,10,activation,86.76,88.57,0.6559573156844883,88.31907499999998,88.79838333333335
4,10,weight,85.29,88.57,0.6559573156844883,88.31907499999998,88.79838333333335
4,10,gradient,86.75,88.57,0.6559573156844883,88.31907499999998,88.79838333333335
4,20,activation,84.03,87.39433333333334,1.3411131777577734,86.86958333333332,87.80371666666666
4,20,weight,75.52,87.39433333333334,1.3411131777577734,86.86958333333332,87.80371666666666
4,20,gradient,84.47,87.39433333333334,1.3411131777577734,86.86958333333332,87.80371666666666
4,50,activation,69.89,84.07133333333333,1.9775384249673187,83.35910833333334,84.76520833333333
4,50,weight,52.55,84.07133333333333,1.9775384249673187,83.35910833333334,84.76520833333333
4,50,gradient,70.48,84.07133333333333,1.9775384249673187,83.35910833333334,84.76520833333333
5,1,activation,88.99,89.18066666666667,0.23154457214301127,89.09496666666666,89.25854166666666
5,1,weight,89.2,89.18066666666667,0.23154457214301127,89.09496666666666,89.25854166666666
5,1,gradient,89.28,89.18066666666667,0.23154457214301127,89.09496666666666,89.25854166666666
5,5,activation,88.24,89.03466666666667,0.35782428959228313,88.91274166666665,89.15401666666668
5,5,weight,88.6,89.03466666666667,0.35782428959228313,88.91274166666665,89.15401666666668
5,5,gradient,88.49,89.03466666666667,0.35782428959228313,88.91274166666665,89.15401666666668
5,10,activation,87.69,88.30166666666665,0.7486792073749309,88.00233333333334,88.54557500000001
5,10,weight,85.29,88.30166666666665,0.7486792073749309,88.00233333333334,88.54557500000001
5,10,gradient,86.75,88.30166666666665,0.7486792073749309,88.00233333333334,88.54557500000001
5,20,activation,79.49,87.87266666666666,0.7627666018441617,87.58309166666668,88.118225
5,20,weight,75.52,87.87266666666666,0.7627666018441617,87.58309166666668,88.118225
5,20,gradient,84.47,87.87266666666666,0.7627666018441617,87.58309166666668,88.118225
5,50,activation,62.7,83.05066666666667,2.676327002109836,82.12714166666667,83.91774166666666
5,50,weight,52.55,83.05066666666667,2.676327002109836,82.12714166666667,83.91774166666666
5,50,gradient,70.48,83.05066666666667,2.676327002109836,82.12714166666667,83.91774166666666
6,1,activation,89.13,89.18466666666669,0.19673558114608905,89.10880833333334,89.246175
6,1,weight,89.2,89.18466666666669,0.19673558114608905,89.10880833333334,89.246175
6,1,gradient,89.28,89.18466666666669,0.19673558114608905,89.10880833333334,89.246175
6,5,activation,88.27,88.78733333333334,0.5806257161220323,88.58208333333334,88.973375
6,5,weight,88.6,88.78733333333334,0.5806257161220323,88.58208333333334,88.973375
6,5,gradient,88.49,88.78733333333334,0.5806257161220323,88.58208333333334,88.973375
6,10,activation,86.35,88.35,0.7075874504257404,88.06345833333336,88.59306666666666
6,10,weight,85.29,88.35,0.7075874504257404,88.06345833333336,88.59306666666666
6,10,gradient,86.75,88.35,0.7075874504257404,88.06345833333336,88.59306666666666
6,20,activation,85.47,87.85666666666665,1.0345637835446495,87.47077500000002,88.23981666666666
6,20,weight,75.52,87.85666666666665,1.0345637835446495,87.47077500000002,88.23981666666666
6,20,gradient,84.47,87.85666666666665,1.0345637835446495,87.47077500000002,88.23981666666666
6,50,activation,72.82,83.22133333333333,3.629805075880644,81.86886666666666,84.39764999999998
6,50,weight,52.55,83.22133333333333,3.629805075880644,81.86886666666666,84.39764999999998
6,50,gradient,70.48,83.22133333333333,3.629805075880644,81.86886666666666,84.39764999999998
7,1,activation,89.43,89.19766666666668,0.21048647356910033,89.122,89.264175
7,1,weight,89.2,89.19766666666668,0.21048647356910033,89.122,89.264175
7,1,gradient,89.28,89.19766666666668,0.21048647356910033,89.122,89.264175
7,5,activation,88.33,88.81966666666666,0.5021386484052214,88.6383,89.00989166666666
7,5,weight,88.6,88.81966666666666,0.5021386484052214,88.6383,89.00989166666666
7,5,gradient,88.49,88.81966666666666,0.5021386484052214,88.6383,89.00989166666666
7,10,activation,86.31,88.69066666666667,0.5910608165738018,88.465225,88.91454166666665
7,10,weight,85.29,88.69066666666667,0.5910608165738018,88.465225,88.91454166666665
7,10,gradient,86.75,88.69066666666667,0.5910608165738018,88.465225,88.91454166666665
7,20,activation,81.89,87.78399999999998,0.9763967772717541,87.38619166666668,88.12107499999999
7,20,weight,75.52,87.78399999999998,0.9763967772717541,87.38619166666668,88.12107499999999
7,20,gradient,84.47,87.78399999999998,0.9763967772717541,87.38619166666668,88.12107499999999
